"drzava","dopust"
"Afghanistan",35
"Albania",32
"Algeria",33
"Andorra",36
"Angola",33
"Antigua and Barbuda",21
"Argentina",21
"Armenia",32
"Australia",30
"Austria",38
"Azerbaijan",34
"The Bahamas",20
"Bahrain",36
"Bangladesh",21
"Belarus",27
"Belgium",30
"Belize",27
"Benin",33
"Bolivia",26
"Botswana",29
"Brazil",30
"Brunei",18
"Bulgaria",32
"Burkina Faso",37
"Burundi",30
"Cabo Verde",22
"Cambodia",42
"Canada",16
"Chad",23
"Chile",30
"China",16
"Colombia",29
"Costa Rica",19
"Croatia",33
"Cuba",33
"Cyprus",34
"Czech Republic",33
"Denmark",25
"Djibouti",35
"Dominica",22
"Dominican Republic",33
"Ecuador",23
"Egypt",28
"El Salvador",26
"Estonia",31
"Ethiopia",25
"European Union",20
"Fiji",22
"Finland",36
"France",36
"Gabon",34
"Georgia",39
"Germany",29
"Ghana",28
"Greece",24
"Grenada",23
"Guatemala",25
"Guinea",33
"Guyana",12
"Haiti",27
"Honduras",19
"Hong Kong",19
"Hungary",33
"Iceland",36
"India",27
"Indonesia",12
"Iran",22
"Ireland",29
"Israel",21
"Italy",32
"Ivory Coast",34
"Japan",10
"Jersey",19
"Kenya",28
"Kuwait",43
"Lesotho",22
"Liberia",21
"Lithuania",34
"Luxembourg",35
"Madagascar",35
"Malaysia",26
"Malta",38
"Mauritania",22
"Mauritius",38
"Mexico",13
"Moldova",20
"Mongolia",15
"Morocco",25
"Mozambique",19
"Myanmar",24
"Nepal",28
"Netherlands",20
"New Zealand",31
"Nicaragua",20
"Niger",34
"Norway",27
"Oman",31
"Pakistan",29
"Panama",32
"Papua New Guinea",19
"Paraguay",22
"Peru",34
"Philippines",16
"Poland",33
"Portugal",35
"Puerto Rico",15
"Qatar",25
"Romania",33
"Russia",32
"Rwanda",26
"Samoa",21
"Saint Lucia",27
"Sao Tomé and Príncipe",34
"Saudi Arabia",30
"Senegal",32
"Republic of Serbia",31
"Singapore",18
"Slovakia",35
"Solomon Islands",15
"Somalia",22
"South Africa",27
"South Sudan",32
"Spain",36
"Sweden",34
"Switzerland",27
"Syria",37
"Taiwan",19
"United Republic of Tanzania",37
"Thailand",18
"Togo",22
"Trinidad and Tobago",24
"Tunisia",16
"Turkey",26.5
"Uganda",28
"Ukraine",29
"United Arab Emirates",32
"United Kingdom",28
"United States of America",0
"Uruguay",25
"Vanuatu",15
"Vietnam",22
"Yemen",37
"Zambia",31
"Zimbabwe",33
