,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Country","Data Source","Beverage Types","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","Data source","All types","","","0.01","0.01","0.01","0.01","0.01","0.03","0.02","0.03","0.02","0.02","0.01","0.01","0.00","0.00"
"Albania","Data source","All types","","4.51","4.76","5.14","5.37","5.28","5.79","5.61","5.58","5.31","5.16","4.54","4.29","3.73","4.25","3.66"
"Algeria","Data source","All types","","","0.53","0.66","0.56","0.45","0.50","0.46","0.44","0.36","0.50","0.45","0.34","0.36","0.23","0.25"
"Andorra","Data source","All types","","","9.98","10.28","10.57","10.60","10.90","11.02","11.57","11.92","12.00","12.16","12.37","12.63","11.59","12.36"
"Angola","Data source","All types","","8.33","8.10","8.24","8.06","7.80","7.01","7.07","6.35","5.84","5.04","3.53","3.49","2.82","2.58","1.85"
"Antigua and Barbuda","Data source","All types","","8.56","8.58","8.18","7.84","7.84","7.82","8.27","8.64","8.93","8.15","7.28","7.16","7.21","7.51","7.27"
"Argentina","Data source","All types","","7.93","8.28","8.35","8.11","8.15","8.33","8.41","8.16","7.75","7.53","7.63","7.62","7.81","7.76","7.68"
"Armenia","Data source","All types","","3.91","3.79","3.89","4.09","4.23","3.96","3.96","3.99","4.01","4.25","3.81","3.03","2.86","2.86","2.90"
"Australia","Data source","All types","","9.71","9.87","10.03","10.30","10.52","10.62","10.76","10.56","10.31","10.30","9.84","9.97","9.84","9.53","10.17"
"Austria","Data source","All types","","12.32","11.82","12.26","12.04","12.10","11.30","12.00","12.50","12.40","12.40","12.10","12.20","12.50","12.40","13.20"
"Azerbaijan","Data source","All types","","","2.14","","1.98","1.98","2.10","1.18","1.02","0.85","0.73","0.62","0.55","0.55","0.51","0.65"
"Bahamas","Data source","All types","","9.45","9.42","9.50","9.34","9.19","9.29","10.15","10.75","11.07","10.49","10.10","10.68","10.85","11.64","12.15"
"Bahrain","Data source","All types","","1.57","1.65","1.70","1.66","1.93","1.95","2.00","2.00","2.10","2.05","2.16","2.16","1.99","1.95","2.15"
"Bangladesh","Data source","All types","","","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01"
"Barbados","Data source","All types","","8.82","8.74","8.61","8.51","8.41","8.46","8.95","8.47","8.39","8.01","7.68","7.65","7.59","7.38","7.43"
"Belarus","Data source","All types","","13.94","14.66","16.35","17.31","14.44","14.09","14.67","14.22","12.60","11.01","12.05","11.17","12.23","10.74","12.98"
"Belgium","Data source","All types","","12.60","11.77","10.08","10.11","10.22","10.05","10.47","10.25","10.98","12.27","12.05","11.28","11.29","11.01","11.21"
"Belize","Data source","All types","","6.58","6.56","6.66","6.64","6.76","6.85","7.22","7.24","6.48","6.25","6.20","5.67","4.99","4.90","4.79"
"Benin","Data source","All types","","","","","1.40","1.33","1.16","1.28","1.12","1.19","1.13","1.15","1.35","1.23","1.29","1.34"
"Bhutan","Data source","All types","","","","","0.23","0.28","0.17","0.21","0.16","0.29","0.73","0.96","0.52","0.29","0.14","0.17"
"Bolivia (Plurinational State of)","Data source","All types","","3.62","3.78","3.89","3.93","3.95","3.87","3.77","3.47","3.23","2.86","2.66","2.37","2.26","2.20","2.32"
"Bosnia and Herzegovina","Data source","All types","","4.03","4.12","4.61","4.64","4.54","4.75","5.13","5.16","4.82","4.56","4.25","4.14","3.84","3.85","3.64"
"Botswana","Data source","All types","","","","","5.76","5.99","5.01","6.56","6.21","6.45","6.37","4.90","5.51","6.41","5.48","5.37"
"Brazil","Data source","All types","","7.32","7.24","7.55","7.58","7.52","7.33","7.21","7.19","7.10","6.97","6.85","6.95","7.00","7.13","7.26"
"Brunei Darussalam","Data source","All types","","","","","0.97","0.88","0.25","0.67","0.85","0.67","0.16","0.11","0.12","0.13","0.47","0.37"
"Bulgaria","Data source","All types","","12.03","12.06","10.99","10.67","10.80","10.93","10.98","10.89","10.39","10.48","10.96","11.19","10.20","10.72","9.69"
"Burkina Faso","Data source","All types","","","4.64","4.75","4.51","4.55","4.55","4.50","4.58","4.73","4.88","4.54","4.58","4.53","4.56","3.71"
"Burundi","Data source","All types","","","","","4.16","4.16","4.05","4.33","4.54","4.50","5.54","5.72","5.84","5.98","6.09","6.61"
"Côte d'Ivoire","Data source","All types","","","3.15","3.24","3.13","3.15","2.92","2.69","2.58","2.65","3.11","3.08","3.12","3.13","3.15","3.45"
"Cabo Verde","Data source","All types","","","","","5.07","4.75","4.45","4.16","5.28","4.25","4.26","4.19","4.16","3.82","3.81","3.49"
"Cambodia","Data source","All types","","","","","2.12","2.20","2.13","2.24","2.08","2.03","1.99","1.38","1.44","1.43","1.71","1.51"
"Cameroon","Data source","All types","","","","","6.19","6.15","5.89","5.90","5.44","5.22","5.03","4.71","4.64","4.58","4.43","3.91"
"Canada","Data source","All types","","8.10","8.20","8.30","8.20","8.40","8.40","8.30","8.30","8.20","8.00","7.80","7.70","7.70","7.60","7.60"
"Central African Republic","Data source","All types","","","","","1.66","1.67","1.56","1.52","1.50","1.54","1.50","1.50","1.49","1.47","1.52","1.51"
"Chad","Data source","All types","","","0.64","0.62","0.56","0.50","0.47","0.45","0.42","0.41","0.42","0.34","0.42","0.36","0.30","0.25"
"Chile","Data source","All types","","7.16","7.20","6.76","7.26","7.93","7.67","7.31","7.39","7.33","7.57","6.32","6.37","6.06","6.10","6.24"
"China","Data source","All types","","5.78","5.79","5.74","5.63","5.75","4.88","4.27","3.88","3.28","2.92","3.04","2.96","2.91","2.84","3.06"
"Colombia","Data source","All types","","4.38","4.41","4.44","4.37","4.28","4.34","4.45","4.66","4.53","4.38","4.26","4.25","4.45","4.43","4.66"
"Comoros","Data source","All types","","","","","0.12","0.15","0.17","0.12","0.16","0.25","0.24","0.27","0.26","0.08","0.08","0.09"
"Congo","Data source","All types","","","","","3.82","3.53","3.47","2.58","2.75","2.25","2.03","2.58","2.45","2.55","2.30","2.26"
"Cook Islands","Data source","All types","","","","","6.36","10.72","8.78","8.07","8.20","6.33","6.65","7.06","7.53","1.10","2.21","3.28"
"Costa Rica","Data source","All types","","3.45","3.42","3.34","3.41","3.58","4.07","4.22","4.20","4.15","4.10","4.09","4.04","4.17","4.29","4.34"
"Croatia","Data source","All types","","12.14","12.39","11.49","12.19","12.10","12.21","12.06","12.56","11.83","11.59","13.11","13.78","13.39","13.15","12.73"
"Cuba","Data source","All types","","4.37","4.18","4.16","4.14","4.13","4.01","4.26","4.13","4.17","4.48","4.38","4.39","4.10","4.04","3.92"
"Cyprus","Data source","All types","","","9.04","10.55","10.69","11.32","10.80","12.01","11.56","11.47","11.41","13.03","10.62","11.68","10.16","9.56"
"Czechia","Data source","All types","","12.68","12.45","12.71","12.43","12.69","13.23","13.25","13.43","13.03","13.19","13.24","13.01","13.47","13.36","13.22"
"Democratic People's Republic of Korea","Data source","All types","","","3.35","3.61","3.39","3.12","3.35","3.16","3.13","3.28","3.21","3.13","3.13","3.08","2.53","3.52"
"Democratic Republic of the Congo","Data source","All types","","","","","1.82","1.81","2.13","2.09","1.52","1.53","1.43","1.44","1.83","1.85","1.90","1.98"
"Denmark","Data source","All types","","9.64","9.50","9.26","10.47","10.28","10.08","10.70","10.99","11.02","11.28","11.27","11.54","11.34","11.56","11.69"
"Djibouti","Data source","All types","","0.38","0.53","0.52","0.39","0.44","0.49","0.49","0.45","1.02","1.23","1.18","1.02","1.03","0.95","1.34"
"Dominica","Data source","All types","","","","","5.46","7.45","7.45","9.74","8.51","8.62","8.12","8.66","7.28","8.52","8.74","8.91"
"Dominican Republic","Data source","All types","","5.92","5.93","5.93","5.91","6.02","6.05","6.12","6.05","6.20","5.71","5.16","6.32","6.43","6.13","6.58"
"Ecuador","Data source","All types","","3.82","3.77","3.92","3.99","3.95","3.87","3.76","3.63","3.52","3.54","3.65","3.69","3.88","4.13","3.99"
"Egypt","Data source","All types","","0.21","0.21","0.23","0.22","0.22","0.21","0.24","0.21","0.18","0.16","0.16","0.15","0.15","0.14","0.14"
"El Salvador","Data source","All types","","2.52","2.42","2.48","2.37","2.36","2.55","2.68","2.83","2.77","2.77","2.90","3.10","2.97","2.88","2.79"
"Equatorial Guinea","Data source","All types","","","10.72","11.89","10.99","9.93","7.97","8.34","6.86","7.28","7.19","6.28","7.13","6.01","5.07","4.46"
"Eritrea","Data source","All types","","","","","0.62","0.61","0.63","0.49","1.23","0.97","1.07","0.64","0.56","0.83","0.61","0.83"
"Estonia","Data source","All types","","","","","","14.97","15.04","16.99","17.87","16.58","15.52","15.07","11.64","11.48","",""
"Ethiopia","Data source","All types","","","1.86","1.84","1.32","1.34","1.17","1.13","1.06","1.22","0.99","0.86","0.79","0.80","0.85","0.88"
"Fiji","Data source","All types","","","","","","2.25","2.31","1.95","2.09","2.06","2.02","1.63","1.76","1.85","1.93","2.05"
"Finland","Data source","All types","","8.80","8.97","9.24","9.81","9.72","9.96","10.26","10.45","10.15","9.95","9.89","9.31","9.25","8.94","8.59"
"France","Data source","All types","","11.50","11.10","11.50","11.80","11.70","11.80","11.90","12.20","12.40","12.20","13.18","13.49","13.78","13.89","13.63"
"Gabon","Data source","All types","","","8.86","8.30","8.90","8.85","8.64","8.75","9.02","8.01","7.72","8.13","6.47","8.34","9.29","8.87"
"Gambia","Data source","All types","","","","","3.41","3.48","2.99","2.79","2.64","2.93","2.26","2.51","2.47","2.08","2.25","2.18"
"Georgia","Data source","All types","","6.13","5.91","7.71","8.14","7.24","6.66","7.17","8.65","6.18","4.70","3.74","3.36","2.72","2.76","3.28"
"Germany","Data source","All types","","11.03","10.94","11.18","11.20","11.20","11.22","11.36","11.50","11.76","11.67","11.83","11.92","12.25","12.46","12.91"
"Ghana","Data source","All types","","","","","1.64","1.69","1.76","1.78","1.25","1.70","1.50","1.46","1.53","1.60","1.49","1.60"
"Greece","Data source","All types","","7.53","7.46","8.20","8.02","9.00","9.08","9.51","9.67","9.42","9.95","9.56","9.46","8.09","8.62","8.48"
